Time (s),RPE Value
0.00,0
9.26,15.0
16.45,25.0
26.42,35.0
32.39,40.0
41.58,50.0
46.69,60.0
52.23,70.0
59.45,80.0
65.04,90.0
72.29,
73.56,100.0
