Marco_Margarita_Right_1.c3d  



Time(s):	C_L_bicipite(μV):
0.1625	78.45154
0.163	69.68994
0.1635	73.61755
0.164	76.84021
0.1645	94.3634
0.165	95.37048
0.1655	86.10535
0.166	70.19348
0.1665	49.24622
0.167	31.72302
0.1675	13.49487
0.168	-8.96301
0.1685	-25.07629
0.169	-44.51294
0.1695	-52.8717
0.17	-74.82605
0.1705	-90.63721
0.171	-101.71509
0.1715	-111.18164
0.172	-122.86377
0.1725	-119.03687
0.173	-113.09509
0.1735	-101.11084
0.174	-96.7804
0.1745	-81.06995
0.175	-55.59082
0.1755	-33.23364
0.176	-14.30054
0.1765	-1.40991
0.177	7.35168
0.1775	14.50195
0.178	21.14868
0.1785	26.3855
0.179	27.89612
0.1795	29.50745
0.18	22.05505
0.1805	13.19275
0.181	15.60974
0.1815	16.51611
0.182	10.87646
0.1825	5.74036
0.183	1.40991
0.1835	0.10071
0.184	0.30212
0.1845	2.31628
0.185	-6.84814
0.1855	-6.44531
0.186	-0.20142
0.1865	1.71204
0.187	2.11487
0.1875	2.31628
0.188	11.48071
0.1885	8.96301
0.189	13.59558
0.1895	12.48779
0.19	11.68213
0.1905	11.38
0.191	11.07788
0.1915	4.53186
0.192	5.63965
0.1925	9.97009
0.193	14.30054
0.1935	12.5885
0.194	13.59558
0.1945	11.98425
0.195	10.47363
0.1955	8.15735
0.196	10.67505
0.1965	5.94177
0.197	8.45947
0.1975	9.86938
0.198	9.97009
0.1985	10.57434
0.199	9.16443
0.1995	7.5531
0.2	5.63965
0.2005	8.35876
0.201	7.65381
0.2015	10.47363
0.202	4.22974
0.2025	7.04956
0.203	12.5885
0.2035	12.08496
0.204	11.88354
0.2045	4.63257
0.205	5.74036
0.2055	7.85522
0.206	9.36584
0.2065	9.06372
0.207	6.54602
0.2075	12.48779
0.208	9.46655
0.2085	9.76868
0.209	10.17151
0.2095	10.97717
0.21	8.66089
0.2105	8.05664
0.211	7.85522
0.2115	12.89062
0.212	8.96301
0.2125	10.37292
0.213	14.70337
0.2135	13.99841
0.214	16.91895
0.2145	27.39258
0.215	29.00391
0.2155	28.29895
0.216	24.97559
0.2165	28.09753
0.217	25.98267
0.2175	24.97559
0.218	19.63806
0.2185	13.49487
0.219	14.80408
0.2195	12.08496
0.22	10.37292
0.2205	5.74036
0.221	4.02832
0.2215	0.10071
0.222	-1.10779
0.2225	-2.81982
0.223	-0.80566
0.2235	-3.62549
0.224	-8.25806
0.2245	-11.17859
0.225	-6.54602
0.2255	-9.46655
0.226	-8.15735
0.2265	-4.12903
0.227	-10.57434
0.2275	-13.69629
0.228	-3.62549
0.2285	-4.33044
0.229	-1.71204
0.2295	1.71204
0.23	5.94177
0.2305	11.78284
0.231	19.33594
0.2315	22.55859
0.232	40.58533
0.2325	56.19507
0.233	58.10852
0.2335	66.56799
0.234	67.67578
0.2345	73.21472
0.235	72.00623
0.2355	74.42322
0.236	88.82446
0.2365	98.19031
0.237	103.42712
0.2375	106.24695
0.238	88.62305
0.2385	70.19348
0.239	51.46179
0.2395	28.19824
0.24	2.31628
0.2405	-20.64514
0.241	-40.2832
0.2415	-58.71277
0.242	-79.45862
0.2425	-92.04712
0.243	-83.68835
0.2435	-73.21472
0.244	-64.55383
0.2445	-65.3595
0.245	-61.02905
0.2455	-63.64746
0.246	-56.90002
0.2465	-57.60498
0.247	-57.60498
0.2475	-45.11719
0.248	-28.50037
0.2485	-11.68213
0.249	1.2085
0.2495	11.17859
0.25	9.86938
0.2505	19.23523
0.251	26.08337
0.2515	33.9386
0.252	40.38391
0.2525	31.92444
0.253	18.93311
0.2535	-2.31628
0.254	-22.15576
0.2545	-28.39966
0.255	-38.87329
0.2555	-51.86462
0.256	-45.92285
0.2565	-49.64905
0.257	-48.44055
0.2575	-56.09436
0.258	-54.68445
0.2585	-55.18799
0.259	-45.52002
0.2595	-31.82373
0.26	-28.19824
0.2605	-24.57275
0.261	-12.68921
0.2615	-2.41699
0.262	-0.30212
0.2625	3.62549
0.263	14.90479
0.2635	13.89771
0.264	22.55859
0.2645	29.00391
0.265	30.2124
0.2655	31.82373
0.266	26.28479
0.2665	23.36426
0.267	21.85364
0.2675	25.68054
0.268	15.1062
0.2685	15.81116
0.269	17.82532
0.2695	12.28638
0.27	14.70337
0.2705	13.19275
0.271	20.44373
0.2715	12.99133
0.272	12.68921
0.2725	13.39417
0.273	15.1062
0.2735	13.89771
0.274	15.81116
0.2745	12.5885
0.275	10.87646
0.2755	8.15735
0.276	9.46655
0.2765	12.68921
0.277	10.27222
0.2775	9.86938
0.278	6.84814
0.2785	12.08496
0.279	3.7262
0.2795	4.93469
0.28	9.56726
0.2805	11.38
0.281	9.16443
0.2815	1.81274
0.282	4.43115
0.2825	10.17151
0.283	4.33044
0.2835	8.66089
0.284	7.95593
0.2845	9.26514
0.285	9.26514
0.2855	3.02124
0.286	5.33752
0.2865	8.56018
0.287	4.83398
0.2875	11.07788
0.288	14.40125
0.2885	13.39417
0.289	9.06372
0.2895	12.68921
0.29	9.26514
0.2905	14.70337
0.291	12.89062
0.2915	7.04956
