Marco_Margarita_Right_3.c3d  



Time(s):	C_L_bicipite(μV):
0	8.96301
0.0005	-45.01648
0.001	-52.67029
0.0015	-23.76709
0.002	-4.22974
0.0025	4.43115
0.003	7.85522
0.0035	15.81116
0.004	-2.71912
0.0045	-10.17151
0.005	-0.70496
0.0055	18.8324
0.006	38.26904
0.0065	46.32568
0.007	65.25879
0.0075	71.20056
0.008	75.53101
0.0085	60.92834
0.009	55.08728
0.0095	31.4209
0.01	9.46655
0.0105	12.48779
0.011	16.41541
0.0115	11.48071
0.012	-5.53894
0.0125	-38.36975
0.013	-69.1864
0.0135	-94.76624
0.014	-123.56873
0.0145	-136.56006
0.015	-136.86218
0.0155	-142.50183
0.016	-139.88342
0.0165	-124.77722
0.017	-90.43579
0.0175	-64.85596
0.018	-36.4563
0.0185	-8.8623
0.019	5.43823
0.0195	15.71045
0.02	39.98108
0.0205	105.6427
0.021	179.66309
0.0215	188.42468
0.022	171.70715
0.0225	121.75598
0.023	119.03687
0.0235	126.58997
0.024	115.10925
0.0245	77.44446
0.025	37.56409
0.0255	19.63806
0.026	-2.01416
0.0265	-17.42249
0.027	-20.84656
0.0275	-21.04797
0.028	-2.21558
0.0285	5.13611
0.029	6.3446
0.0295	-3.7262
0.03	24.06921
0.0305	46.62781
0.031	21.04797
0.0315	-8.05664
0.032	-41.29028
0.0325	-82.9834
0.033	-117.72766
0.0335	-131.92749
0.034	-137.86926
0.0345	-144.91882
0.035	-128.90625
0.0355	-102.42004
0.036	-82.17773
0.0365	-51.46179
0.037	-14.30054
0.0375	17.42249
0.038	43.70728
0.0385	47.8363
0.039	44.91577
0.0395	62.9425
0.04	96.67969
0.0405	109.06677
0.041	84.89685
0.0415	60.52551
0.042	50.45471
0.0425	33.63647
0.043	10.87646
0.0435	-4.12903
0.044	-21.04797
0.0445	-18.32886
0.045	-4.02832
0.0455	-10.37292
0.046	-30.11169
0.0465	-35.44922
0.047	-14.09912
0.0475	23.36426
0.048	66.36658
0.0485	87.61597
0.049	66.26587
0.0495	37.56409
0.05	28.19824
0.0505	39.88037
0.051	25.68054
0.0515	-0.90637
0.052	-2.71912
0.0525	19.03381
0.053	31.72302
0.0535	48.74268
0.054	48.23914
0.0545	25.37842
0.055	5.43823
0.0555	-2.71912
0.056	-9.36584
0.0565	-17.6239
0.057	-17.92603
