Time (s),RPE Value
0.00,0
8.74,30.0
18.23,40.0
23.48,50.0
30.19,65.0
37.05,70.0
43.32,80.0
48.94,85.0
58.67,95.0
64.35,97.0
72.38,99.0
76.78,100.0
