Time (s),RPE Value
0.00,0
9.14,10.0
21.40,25.0
28.62,35.0
33.65,40.0
41.15,50.0
49.68,65.0
62.47,75.0
70.29,85.0
82.62,95.0
88.32,98.0
99.27,100.0
