Time (s),RPE Value
0.00,0
7.76,20.0
17.23,40.0
27.02,60.0
32.21,65.0
41.87,70.0
51.69,80.0
58.03,85.0
64.32,85.0
69.87,85.0
77.05,90.0
84.82,95.0
93.81,98.0
100.02,98.0
106.77,99.0
113.99,99.0
123.28,99.0
131.96,100.0
