Time (s),RPE Value
0.00,0
6.26,20.0
14.93,35.0
23.39,50.0
35.91,65.0
47.62,70.0
54.45,80.0
62.57,90.0
71.67,93.0
78.95,96.0
91.39,99.0
96.05,100.0
