Time (s),RPE Value
0.00,0
7.36,20.0
15.26,35.0
28.24,55.0
33.38,60.0
42.20,70.0
51.61,90.0
56.75,93.0
64.39,97.0
74.44,98.0
85.07,
85.44,100.0
