Time (s),RPE Value
0.00,0
7.36,20.0
17.31,35.0
27.24,40.0
33.01,50.0
38.15,60.0
44.92,70.0
52.59,80.0
58.77,85.0
65.05,90.0
71.84,95.0
77.33,97.0
84.99,
86.41,100.0
