Time (s),RPE Value
0.00,0
8.92,20.0
15.19,30.0
21.93,40.0
30.56,50.0
37.88,55.0
44.37,60.0
53.76,70.0
62.77,75.0
71.76,85.0
80.92,90.0
89.84,94.0
99.01,97.0
104.78,98.0
114.39,99.0
121.35,
122.88,100.0
