Time (s),RPE Value
0.00,0
6.57,10.0
11.86,20.0
19.75,30.0
26.75,40.0
36.26,50.0
43.57,60.0
51.63,65.0
58.48,70.0
65.44,75.0
73.16,80.0
83.03,90.0
91.83,95.0
101.80,97.0
110.34,98.0
116.41,99.0
124.94,99.0
131.14,
131.34,100.0
