Time (s),RPE Value
0.00,0
7.04,20.0
18.31,35.0
23.95,45.0
31.39,55.0
40.78,70.0
52.04,80.0
60.56,90.0
66.77,95.0
77.15,98.0
88.09,
90.29,100.0
