Time (s),RPE Value
0.00,0
10.23,20.0
19.53,35.0
30.28,45.0
40.42,55.0
48.93,70.0
56.78,80.0
67.02,85.0
73.11,95.0
80.33,97.0
88.89,99.0
96.96,99.0
105.94,
106.22,100.0
