Christian_Larivera_Right_1.c3d  



Time(s):	A_R_bicipite(μV):
0.1645	3.22266
0.165	9.66797
0.1655	10.17151
0.166	2.21558
0.1665	9.56726
0.167	11.58142
0.1675	8.96301
0.168	9.06372
0.1685	10.0708
0.169	11.78284
0.1695	4.73328
0.17	4.73328
0.1705	8.25806
0.171	6.04248
0.1715	-2.01416
0.172	7.15027
0.1725	6.54602
0.173	4.02832
0.1735	4.93469
0.174	12.28638
0.1745	8.56018
0.175	11.07788
0.1755	10.67505
0.176	7.45239
0.1765	4.53186
0.177	4.83398
0.1775	5.43823
0.178	7.45239
0.1785	10.27222
0.179	13.99841
0.1795	10.17151
0.18	14.60266
0.1805	17.01965
0.181	11.2793
0.1815	12.38708
0.182	11.98425
0.1825	10.47363
0.183	10.57434
0.1835	8.15735
0.184	10.77576
0.1845	10.67505
0.185	7.35168
0.1855	11.68213
0.186	10.77576
0.1865	9.56726
0.187	11.88354
0.1875	6.2439
0.188	11.38
0.1885	10.57434
0.189	10.47363
0.1895	11.2793
0.19	9.16443
0.1905	2.31628
0.191	3.42407
0.1915	-0.70496
0.192	1.10779
0.1925	1.40991
0.193	9.16443
0.1935	4.02832
0.194	2.92053
0.1945	3.02124
0.195	2.92053
0.1955	3.92761
0.196	6.84814
0.1965	7.15027
0.197	7.04956
0.1975	4.43115
0.198	11.68213
0.1985	11.78284
0.199	6.2439
0.1995	7.5531
0.2	5.84106
0.2005	10.97717
0.201	9.86938
0.2015	-0.10071
0.202	6.74744
0.2025	8.25806
0.203	7.85522
0.2035	4.43115
0.204	5.94177
0.2045	5.63965
0.205	3.42407
0.2055	5.33752
0.206	6.54602
0.2065	5.84106
0.207	6.3446
0.2075	8.66089
0.208	7.95593
0.2085	10.97717
0.209	8.56018
0.2095	11.88354
0.21	7.85522
0.2105	10.0708
0.211	9.26514
0.2115	9.66797
0.212	3.42407
0.2125	11.58142
0.213	9.86938
0.2135	9.06372
0.214	4.73328
0.2145	7.25098
0.215	4.83398
0.2155	3.92761
0.216	5.84106
0.2165	6.3446
0.217	4.63257
0.2175	4.33044
0.218	5.0354
0.2185	5.13611
0.219	6.94885
0.2195	5.84106
0.22	5.43823
0.2205	6.44531
0.221	6.3446
0.2215	3.12195
0.222	11.48071
0.2225	9.76868
0.223	9.97009
0.2235	6.44531
0.224	8.45947
0.2245	9.97009
0.225	14.60266
0.2255	10.97717
0.226	13.69629
0.2265	12.48779
0.227	9.36584
0.2275	9.36584
0.228	7.85522
0.2285	12.5885
0.229	12.5885
0.2295	3.7262
0.23	3.32336
0.2305	6.44531
0.231	9.36584
0.2315	4.93469
0.232	2.11487
0.2325	4.43115
0.233	7.04956
0.2335	1.91345
0.234	6.2439
0.2345	-0.50354
0.235	0.20142
0.2355	3.7262
0.236	4.12903
0.2365	5.43823
0.237	5.84106
0.2375	8.8623
0.238	7.35168
0.2385	6.54602
0.239	8.15735
0.2395	11.2793
0.24	8.15735
0.2405	8.7616
0.241	7.95593
0.2415	7.65381
0.242	10.57434
0.2425	7.25098
0.243	15.20691
0.2435	15.60974
0.244	9.16443
0.2445	9.56726
0.245	8.45947
0.2455	11.88354
0.246	10.87646
0.2465	15.71045
0.247	15.81116
0.2475	16.21399
0.248	16.81824
0.2485	14.19983
0.249	14.80408
0.2495	13.19275
0.25	8.15735
0.2505	7.95593
0.251	9.16443
0.2515	10.97717
0.252	6.94885
0.2525	9.36584
0.253	10.0708
0.2535	8.05664
0.254	7.25098
0.2545	2.61841
0.255	6.84814
0.2555	3.7262
0.256	4.12903
0.2565	-0.30212
0.257	2.11487
0.2575	6.44531
0.258	-1.40991
0.2585	0.90637
0.259	-0.40283
0.2595	0.60425
0.26	-0.60425
0.2605	-6.14319
0.261	-5.63965
0.2615	-6.3446
0.262	-5.23682
0.2625	0
0.263	-3.42407
0.2635	-3.12195
0.264	-0.80566
0.2645	1.00708
0.265	0.80566
0.2655	1.3092
0.266	-5.84106
0.2665	0.90637
0.267	6.84814
0.2675	3.12195
0.268	0.70496
0.2685	4.02832
0.269	-1.61133
0.2695	1.91345
0.27	0.20142
0.2705	4.12903
0.271	4.53186
0.2715	-0.90637
0.272	7.75452
0.2725	5.43823
0.273	-0.50354
0.2735	0.90637
0.274	3.52478
0.2745	7.5531
0.275	3.22266
0.2755	6.94885
0.276	6.74744
0.2765	7.04956
0.277	9.06372
0.2775	7.95593
0.278	0.20142
0.2785	10.27222
0.279	12.38708
0.2795	10.77576
0.28	8.8623
0.2805	9.06372
0.281	2.92053
0.2815	5.74036
0.282	3.62549
0.2825	-2.92053
0.283	1.10779
0.2835	-2.11487
0.284	-5.13611
