Time (s),RPE Value
0.00,0
6.85,10.0
15.96,20.0
25.12,30.0
32.73,40.0
38.35,50.0
44.70,60.0
52.64,70.0
57.73,75.0
66.80,80.0
75.26,90.0
80.60,95.0
86.37,97.0
92.99,99.0
100.40,
101.80,100.0
