Time (s),RPE Value
0.00,0
8.89,10.0
14.93,20.0
21.52,30.0
31.39,40.0
39.33,50.0
49.02,60.0
55.86,70.0
65.72,85.0
73.79,90.0
83.52,
84.45,100.0
