Time (s),RPE Value
0.00,0
5.92,20.0
16.95,30.0
23.55,40.0
33.49,55.0
39.52,60.0
46.92,70.0
55.29,75.0
64.42,85.0
73.71,95.0
83.87,99.0
89.09,100.0
