Time (s),RPE Value
0.02,0.0
10.93,5.0
24.79,8.0
37.75,13.0
43.78,15.0
54.26,20.0
65.00,23.0
72.89,27.0
78.38,29.0
89.07,35.0
99.20,38.0
112.98,45.0
125.72,55.0
136.56,85.0
151.67,100.0
