Time (s),RPE Value
0.00,0
8.68,20.0
13.84,25.0
23.30,30.0
36.23,50.0
44.65,60.0
52.68,70.0
61.35,75.0
69.61,85.0
75.16,90.0
85.44,95.0
93.88,98.0
101.30,99.0
112.26,99.0
120.17,100.0
